Time: 1618473026.366798 	 Lat:47.47177 	 Long:19.05934 	 Heading: 44.78980 	 Speed:3.68500
Time: 1618473027.366821 	 Lat:47.47179 	 Long:19.05938 	 Heading: 44.47275 	 Speed:5.55806
Time: 1618473028.366836 	 Lat:47.47182 	 Long:19.05942 	 Heading: 43.98494 	 Speed:6.84139
Time: 1618473029.366862 	 Lat:47.47185 	 Long:19.05947 	 Heading: 43.53794 	 Speed:7.58083
Time: 1618473030.366958 	 Lat:47.47188 	 Long:19.05953 	 Heading: 42.25470 	 Speed:8.17972
Time: 1618473031.366961 	 Lat:47.47191 	 Long:19.05958 	 Heading: 39.21552 	 Speed:7.89250
Time: 1618473032.366987 	 Lat:47.47194 	 Long:19.05963 	 Heading: 33.28233 	 Speed:6.57556
Time: 1618473033.367011 	 Lat:47.47195 	 Long:19.05968 	 Heading: 19.97288 	 Speed:6.28528
Time: 1618473034.367021 	 Lat:47.47195 	 Long:19.05974 	 Heading: 2.60499 	 Speed:6.77111
Time: 1618473035.367052 	 Lat:47.47194 	 Long:19.05981 	 Heading: 345.09128 	 Speed:7.71833
Time: 1618473036.367070 	 Lat:47.47193 	 Long:19.05989 	 Heading: 344.01007 	 Speed:8.42417
Time: 1618473037.367090 	 Lat:47.47191 	 Long:19.05997 	 Heading: 345.48015 	 Speed:9.37139
Time: 1618473038.367115 	 Lat:47.47189 	 Long:19.06004 	 Heading: 339.62654 	 Speed:10.41028
Time: 1618473039.367119 	 Lat:47.47186 	 Long:19.06014 	 Heading: 339.15595 	 Speed:11.00000
Time: 1618473040.367137 	 Lat:47.47183 	 Long:19.06022 	 Heading: 337.26124 	 Speed:10.94194
Time: 1618473041.367143 	 Lat:47.47181 	 Long:19.06030 	 Heading: 338.86359 	 Speed:10.21472
Time: 1618473042.367168 	 Lat:47.47178 	 Long:19.06038 	 Heading: 339.13908 	 Speed:10.29722
Time: 1618473043.367197 	 Lat:47.47175 	 Long:19.06047 	 Heading: 338.65907 	 Speed:11.22000
Time: 1618473044.377187 	 Lat:47.47170 	 Long:19.06056 	 Heading: 337.47100 	 Speed:12.00528
Time: 1618473045.377213 	 Lat:47.47168 	 Long:19.06066 	 Heading: 337.47100 	 Speed:12.00528
Time: 1618473046.377231 	 Lat:47.47162 	 Long:19.06075 	 Heading: 337.96178 	 Speed:12.59500
Time: 1618473047.377252 	 Lat:47.47159 	 Long:19.06086 	 Heading: 339.24683 	 Speed:12.87306
Time: 1618473048.377278 	 Lat:47.47153 	 Long:19.06095 	 Heading: 338.58462 	 Speed:12.89750
Time: 1618473049.377282 	 Lat:47.47150 	 Long:19.06105 	 Heading: 336.54706 	 Speed:12.98917
Time: 1618473050.382745 	 Lat:47.47145 	 Long:19.06115 	 Heading: 338.25622 	 Speed:12.71111
Time: 1618473051.387557 	 Lat:47.47142 	 Long:19.06125 	 Heading: 339.16274 	 Speed:12.65306
Time: 1618473052.387581 	 Lat:47.47138 	 Long:19.06136 	 Heading: 343.23358 	 Speed:13.01056
Time: 1618473053.387599 	 Lat:47.47136 	 Long:19.06148 	 Heading: 344.75764 	 Speed:13.35889
Time: 1618473054.387619 	 Lat:47.47135 	 Long:19.06159 	 Heading: 347.76244 	 Speed:13.49639
Time: 1618473055.387642 	 Lat:47.47133 	 Long:19.06171 	 Heading: 347.95525 	 Speed:13.52083
Time: 1618473056.387660 	 Lat:47.47132 	 Long:19.06183 	 Heading: 349.73377 	 Speed:13.31306
Time: 1618473057.387680 	 Lat:47.47130 	 Long:19.06194 	 Heading: 349.91504 	 Speed:12.71111
Time: 1618473058.387699 	 Lat:47.47130 	 Long:19.06204 	 Heading: 350.90436 	 Speed:11.47361
Time: 1618473059.387723 	 Lat:47.47129 	 Long:19.06215 	 Heading: 351.73576 	 Speed:11.66000
Time: 1618473060.387741 	 Lat:47.47128 	 Long:19.06226 	 Heading: 352.43904 	 Speed:12.32917
Time: 1618473061.387757 	 Lat:47.47127 	 Long:19.06237 	 Heading: 352.99526 	 Speed:13.00139
Time: 1618473062.387784 	 Lat:47.47127 	 Long:19.06249 	 Heading: 352.41184 	 Speed:13.63694
Time: 1618473063.387800 	 Lat:47.47126 	 Long:19.06261 	 Heading: 351.41487 	 Speed:13.98222
Time: 1618473064.387818 	 Lat:47.47129 	 Long:19.06273 	 Heading: 350.19366 	 Speed:14.27250
Time: 1618473065.387840 	 Lat:47.47127 	 Long:19.06286 	 Heading: 348.74116 	 Speed:14.55056
Time: 1618473066.387868 	 Lat:47.47132 	 Long:19.06296 	 Heading: 347.71367 	 Speed:14.41000
Time: 1618473067.387881 	 Lat:47.47130 	 Long:19.06308 	 Heading: 346.69121 	 Speed:14.33972
Time: 1618473068.387905 	 Lat:47.47138 	 Long:19.06318 	 Heading: 345.49274 	 Speed:14.00667
Time: 1618473069.387920 	 Lat:47.47135 	 Long:19.06329 	 Heading: 343.94882 	 Speed:13.53306
Time: 1618473070.387943 	 Lat:47.47140 	 Long:19.06337 	 Heading: 342.57117 	 Speed:12.07556
Time: 1618473071.387959 	 Lat:47.47138 	 Long:19.06345 	 Heading: 341.65977 	 Speed:9.13000
Time: 1618473072.388011 	 Lat:47.47137 	 Long:19.06351 	 Heading: 341.18262 	 Speed:6.69167
Time: 1618473073.388030 	 Lat:47.47141 	 Long:19.06353 	 Heading: 340.83076 	 Speed:4.93472
Time: 1618473074.388043 	 Lat:47.47141 	 Long:19.06356 	 Heading: 340.51651 	 Speed:3.67278
Time: 1618473075.388076 	 Lat:47.47140 	 Long:19.06358 	 Heading: 340.32552 	 Speed:1.48806
Time: 1618473076.388114 	 Lat:47.47140 	 Long:19.06358 	 Heading: 340.22355 	 Speed:0.79444
Time: 1618473077.397895 	 Lat:47.47140 	 Long:19.06359 	 Heading: 340.11047 	 Speed:0.78528
Time: 1618473078.397912 	 Lat:47.47140 	 Long:19.06361 	 Heading: 337.94455 	 Speed:2.53000
Time: 1618473079.397929 	 Lat:47.47138 	 Long:19.06364 	 Heading: 332.06226 	 Speed:3.74306
Time: 1618473080.397954 	 Lat:47.47137 	 Long:19.06367 	 Heading: 324.28245 	 Speed:3.77667
Time: 1618473081.397968 	 Lat:47.47140 	 Long:19.06368 	 Heading: 309.33037 	 Speed:5.73222
Time: 1618473082.397999 	 Lat:47.47136 	 Long:19.06371 	 Heading: 294.47070 	 Speed:6.65500
Time: 1618473083.398013 	 Lat:47.47132 	 Long:19.06372 	 Heading: 283.53611 	 Speed:7.36083
